cluster,token_stem,count_per_doc,count_of_docs,tfidf
1,complianc,15,4,0.036892374562939756
1,compliant,1,3,0.00563032784272151
1,compon,3,3,0.01689098352816453
1,comprehens,5,2,0.050496852347231426
1,compris,2,1,0.035478498602726505
1,compulsori,2,3,0.01126065568544302
1,comput,1,2,0.010099370469446286
1,concern,5,3,0.028151639213607547
1,condit,10,3,0.056303278427215095
1,condon,1,2,0.010099370469446286
1,conduct,21,4,0.051649324388115654
1,confer,2,2,0.02019874093889257
1,confid,1,2,0.010099370469446286
1,confidenti,2,2,0.02019874093889257
1,confirm,1,2,0.010099370469446286
1,conflict,1,2,0.010099370469446286
1,conform,2,3,0.01126065568544302
1,connect,4,3,0.02252131137088604
1,conserv,4,2,0.04039748187778514
1,consid,4,3,0.02252131137088604
1,consist,4,3,0.02252131137088604
1,consolid,2,2,0.02019874093889257
1,constantli,3,3,0.01689098352816453
1,construct,4,1,0.07095699720545301
1,consult,2,1,0.035478498602726505
1,consum,6,4,0.014756949825175902
1,contact,5,4,0.012297458187646583
1,contain,4,3,0.02252131137088604
1,content,4,3,0.02252131137088604
1,conting,1,2,0.010099370469446286
1,continu,10,3,0.056303278427215095
1,contract,10,4,0.024594916375293166
1,contractor,8,4,0.019675933100234536
1,contractu,3,3,0.01689098352816453
1,contribut,2,2,0.02019874093889257
1,control,6,4,0.014756949825175902
1,convent,1,2,0.010099370469446286
1,conyer,1,2,0.010099370469446286
1,cooki,2,1,0.035478498602726505
1,cooper,1,3,0.00563032784272151
1,copyright,2,2,0.02019874093889257
1,core,9,2,0.09089433422501658
1,corpor,12,4,0.029513899650351803
1,correct,3,3,0.01689098352816453
1,corrupt,3,2,0.030298111408338855
1,cost,4,2,0.04039748187778514
1,council,2,2,0.02019874093889257
1,counsel,1,2,0.010099370469446286
1,countri,8,4,0.019675933100234536
1,coupl,1,2,0.010099370469446286
1,cours,2,1,0.035478498602726505
1,court,2,1,0.035478498602726505
1,cover,3,4,0.007378474912587951
1,creat,5,4,0.012297458187646583
1,creation,2,2,0.02019874093889257
1,criteria,3,2,0.030298111408338855
1,critic,6,4,0.014756949825175902
1,cultur,5,2,0.050496852347231426
1,current,8,4,0.019675933100234536
1,custodi,2,1,0.035478498602726505
1,custom,13,4,0.03197339128788112
1,cycl,2,2,0.02019874093889257
1,dai,6,3,0.03378196705632906
1,data,4,3,0.02252131137088604
1,date,2,2,0.02019874093889257
1,deal,4,2,0.04039748187778514
1,decid,2,1,0.035478498602726505
1,decis,5,3,0.028151639213607547
1,declar,5,2,0.050496852347231426
1,dedic,6,2,0.06059622281667771
1,defect,1,2,0.010099370469446286
1,defin,4,2,0.04039748187778514
1,deliv,4,3,0.02252131137088604
1,deliveri,3,2,0.030298111408338855
1,demand,2,2,0.02019874093889257
1,democrat,1,2,0.010099370469446286
1,demonstr,2,4,0.004918983275058634
1,depart,2,3,0.01126065568544302
1,depend,3,3,0.01689098352816453
1,deriv,1,2,0.010099370469446286
1,describ,3,3,0.01689098352816453
1,design,8,4,0.019675933100234536
1,detail,6,3,0.03378196705632906
1,detect,1,2,0.010099370469446286
1,determin,4,3,0.02252131137088604
1,develop,8,5,0.0
1,devic,2,3,0.01126065568544302
1,dfar,1,2,0.010099370469446286
1,dialogu,2,1,0.035478498602726505
1,differ,4,2,0.04039748187778514
1,digit,1,2,0.010099370469446286
1,digniti,4,4,0.009837966550117268
1,dilig,1,2,0.010099370469446286
1,direct,8,4,0.019675933100234536
1,directli,3,3,0.01689098352816453
1,director,5,3,0.028151639213607547
1,disabl,1,3,0.00563032784272151
1,disciplinari,1,3,0.00563032784272151
1,disclos,4,3,0.02252131137088604
1,disclosur,8,4,0.019675933100234536
1,discontinu,1,3,0.00563032784272151
1,discov,1,2,0.010099370469446286
1,discrimin,5,3,0.028151639213607547
1,discriminatori,1,2,0.010099370469446286
1,discuss,1,3,0.00563032784272151
1,dispos,1,3,0.00563032784272151
1,disput,1,2,0.010099370469446286
1,distribut,3,4,0.007378474912587951
1,distributor,2,2,0.02019874093889257
1,divers,4,2,0.04039748187778514
1,dividend,2,1,0.035478498602726505
1,divis,4,2,0.04039748187778514
1,dock,1,2,0.010099370469446286
1,document,7,2,0.070695593286124
1,dollar,1,2,0.010099370469446286
1,domest,5,2,0.050496852347231426
1,dover,1,2,0.010099370469446286
1,download,4,1,0.07095699720545301
1,drink,1,2,0.010099370469446286
1,drive,3,3,0.01689098352816453
1,drug,2,1,0.035478498602726505
1,due,6,3,0.03378196705632906
1,duti,1,2,0.010099370469446286
1,e,3,4,0.007378474912587951
1,earli,2,1,0.035478498602726505
1,easi,1,2,0.010099370469446286
1,east,2,1,0.035478498602726505
1,ecolog,2,1,0.035478498602726505
1,econom,5,2,0.050496852347231426
1,economi,2,1,0.035478498602726505
1,educ,1,4,0.002459491637529317
1,effect,4,3,0.02252131137088604
1,effici,7,1,0.12417474510954277
1,effort,9,5,0.0
1,eh,1,2,0.010099370469446286
1,either,3,3,0.01689098352816453
1,electr,2,1,0.035478498602726505
1,electron,1,2,0.010099370469446286
1,element,3,3,0.01689098352816453
1,elig,2,2,0.02019874093889257
1,elimin,1,3,0.00563032784272151
1,email,4,4,0.009837966550117268
1,embed,2,2,0.02019874093889257
1,embodi,2,2,0.02019874093889257
1,embrac,3,1,0.05321774790408976
1,emerg,2,1,0.035478498602726505
1,emiss,3,1,0.05321774790408976
1,emphas,1,2,0.010099370469446286
1,emploi,6,3,0.03378196705632906
1,employ,4,3,0.02252131137088604
1,employe,17,4,0.041811357837998386
1,en,1,2,0.010099370469446286
1,enabl,3,3,0.01689098352816453
1,encourag,2,3,0.01126065568544302
1,end,6,3,0.03378196705632906
1,endeavor,2,2,0.02019874093889257
1,endors,1,2,0.010099370469446286
1,energi,6,4,0.014756949825175902
1,enforc,1,3,0.00563032784272151
1,engag,3,3,0.01689098352816453
1,engin,2,2,0.02019874093889257
1,enhanc,2,2,0.02019874093889257
1,enjoi,1,2,0.010099370469446286
1,enough,1,2,0.010099370469446286
1,ensur,12,5,0.0
1,enter,2,4,0.004918983275058634
1,enterpris,4,2,0.04039748187778514
1,entir,2,2,0.02019874093889257
1,environ,10,5,0.0
1,environment,12,5,0.0
1,equal,2,3,0.01126065568544302
1,equip,3,3,0.01689098352816453
1,equit,1,2,0.010099370469446286
1,erad,3,3,0.01689098352816453
1,essenti,3,3,0.01689098352816453
1,establish,8,4,0.019675933100234536
1,etc,2,2,0.02019874093889257
1,ethic,8,5,0.0
1,europ,1,3,0.00563032784272151
1,evalu,8,4,0.019675933100234536
1,event,4,3,0.02252131137088604
1,everi,5,3,0.028151639213607547
1,everyth,3,2,0.030298111408338855
1,everywher,2,1,0.035478498602726505
1,evolv,2,2,0.02019874093889257
1,examin,1,3,0.00563032784272151
1,exampl,1,3,0.00563032784272151
1,exce,6,2,0.06059622281667771
1,exceed,2,2,0.02019874093889257
1,excel,3,2,0.030298111408338855
1,except,3,3,0.01689098352816453
1,exchang,4,1,0.07095699720545301
1,exclus,3,2,0.030298111408338855
1,execut,4,2,0.04039748187778514
1,exercis,2,1,0.035478498602726505
1,exist,3,3,0.01689098352816453
1,expand,3,2,0.030298111408338855
1,expect,14,3,0.07882458979810114
1,expens,2,1,0.035478498602726505
1,experi,1,2,0.010099370469446286
1,expert,2,1,0.035478498602726505
1,exploit,1,2,0.010099370469446286
1,explor,2,3,0.01126065568544302
1,export,1,3,0.00563032784272151
1,express,1,3,0.00563032784272151
1,expressli,1,2,0.010099370469446286
1,extend,3,2,0.030298111408338855
1,extens,1,2,0.010099370469446286
1,extent,1,4,0.002459491637529317
1,extern,3,3,0.01689098352816453
1,extra,1,2,0.010099370469446286
1,extraordinari,1,2,0.010099370469446286
1,facil,8,4,0.019675933100234536
1,fact,3,2,0.030298111408338855
1,factor,2,2,0.02019874093889257
1,factori,2,4,0.004918983275058634
1,fail,4,3,0.02252131137088604
1,failur,2,3,0.01126065568544302
1,fair,6,3,0.03378196705632906
1,fairli,2,2,0.02019874093889257
1,faith,1,3,0.00563032784272151
1,fall,2,2,0.02019874093889257
1,famili,5,3,0.028151639213607547
1,far,3,2,0.030298111408338855
1,farm,1,2,0.010099370469446286
1,farmer,1,2,0.010099370469446286
1,featur,1,4,0.002459491637529317
1,feder,3,3,0.01689098352816453
1,fee,3,1,0.05321774790408976
1,feedback,2,2,0.02019874093889257
1,feel,1,2,0.010099370469446286
1,fewer,1,2,0.010099370469446286
1,fight,2,2,0.02019874093889257
1,file,3,3,0.01689098352816453
1,fill,1,2,0.010099370469446286
1,final,2,2,0.02019874093889257
1,financ,2,2,0.02019874093889257
1,financi,6,2,0.06059622281667771
1,find,4,5,0.0
1,firm,1,3,0.00563032784272151
1,firmli,3,1,0.05321774790408976
1,first,4,3,0.02252131137088604
1,fit,3,2,0.030298111408338855
1,five,3,2,0.030298111408338855
1,flavor,1,2,0.010099370469446286
1,focu,7,4,0.01721644146270522
1,focus,5,3,0.028151639213607547
1,follow,9,4,0.02213542473776385
1,food,3,2,0.030298111408338855
1,footprint,2,2,0.02019874093889257
1,forc,11,4,0.027054408012822485
1,forest,2,1,0.035478498602726505
1,form,8,3,0.04504262274177208
1,formal,2,4,0.004918983275058634
1,forth,2,3,0.01126065568544302
1,forward,3,2,0.030298111408338855
1,foster,2,1,0.035478498602726505
1,found,8,4,0.019675933100234536
1,foundat,5,2,0.050496852347231426
1,four,2,2,0.02019874093889257
1,framework,4,1,0.07095699720545301
1,franchis,1,2,0.010099370469446286
1,free,7,4,0.01721644146270522
1,freedom,3,3,0.01689098352816453
1,freeli,1,2,0.010099370469446286
1,frequenc,1,3,0.00563032784272151
1,fsc,2,1,0.035478498602726505
1,fuel,2,2,0.02019874093889257
1,fulfil,2,3,0.01126065568544302
1,full,6,2,0.06059622281667771
1,fulli,4,3,0.02252131137088604
